Date,Open,High,Low,Close,Volume
2021-11-05,415428.330194965,418492.95270241797,407194.1465821564,410742.47803363204,15086003586
2021-11-06,410413.3145442754,414839.9666633308,396892.8448674381,413977.8739390671,14429076700
2021-11-07,414197.6888076216,424904.24205446243,413007.68433618546,423039.5038406849,13541376033
2021-11-08,422956.62062606215,441516.2914007902,422956.62062606215,440575.47303415835,19290896267
2021-11-09,440390.88576707244,442910.3298482448,431964.783254385,433523.96225999296,20834172627
2021-11-10,433367.7627174407,444916.64904406667,410637.1975749284,424469.57458101213,22748160545
2021-11-11,424403.5898858756,437459.9761479348,419417.1407800317,433095.0617416054,17933201129
2021-11-12,432538.6176356673,440268.88560919464,413001.8279709667,427302.40125900507,18316060208
2021-11-13,427266.1454407424,430506.86125046015,419526.1317602098,425869.1117530614,14457436261
2021-11-14,425610.2246463299,429383.2438198626,413552.54982692003,423570.9131029397,12172962219
2021-11-15,423637.9260148704,436231.0335535556,416268.4280208498,417266.82652795315,16275851299
2021-11-16,418454.685155645,447864.90423347056,379438.7306717932,386033.53436905146,27417502801
2021-11-17,385808.80194191635,393718.87373918295,376032.02490743995,392554.9323282242,22183461850
2021-11-18,392574.02139653265,397678.7154337019,362491.05795233697,366283.5908924192,21383250893
2021-11-19,365833.00841119885,394763.27377155423,364659.9918694049,393535.76173967123,20626269711
2021-11-20,393539.78519669175,405994.8434544951,385381.421396181,403755.655507341,15448261277
2021-11-21,403962.9529540539,404905.648933962,389612.44409388304,390919.66527985036,14094831413
2021-11-22,390624.52235485613,393876.0120883733,369297.74136680365,374322.83801258355,19752218877
2021-11-23,374434.77952791005,401517.3169566691,372611.5499790609,397422.95768243074,22133497059
2021-11-24,397356.3471162021,400729.255841583,382354.6640897989,388195.74017187953,21838037128
2021-11-25,391071.79666030407,416627.2309769243,389092.34521636367,391378.3840852678,18705358318
2021-11-26,414035.3646693826,416656.91514872015,360136.12855822593,369053.89751882106,26281795488
2021-11-27,370160.81760278344,383407.6027920693,369292.39910998195,375096.8840857148,16515693874
2021-11-28,375530.568047449,393500.0423823446,365305.68966358155,393182.99396912754,15953126340
2021-11-29,393411.2580974251,408417.4563367069,392272.12800475955,406976.03050656617,19086475837
2021-11-30,407219.85200200975,435190.03110711277,399007.84210789204,424039.69055090845,28626354111
2021-12-01,423325.61633992195,437704.7364500165,414773.6243275702,419966.47677856684,27634826695
2021-12-02,419906.30374357104,423805.3912370801,406646.6881968975,413036.7873419672,21502671027
2021-12-03,413316.37289981544,425487.19627165794,375392.92111226916,386430.96251252294,25879591528
2021-12-04,387076.9955947846,388446.9827102721,322780.14067834616,377172.94320322573,38478999182
2021-12-05,377176.7431348562,388831.31226588786,369906.15512592345,384381.6370316595,25533062707
